baName,postId,title,content,publishTime,date,available_date
600157,1386917100,永泰能源，2023年最后买入1.38，1.35。,永泰能源，2023年最后买入1.38，1.35。,2024-01-01 00:00:00,2024-01-01,2024-01-02
002354,1386958256,天娱数科:2023年12月28日投资者关系活动记录表,天娱数科:2023年12月28日投资者关系活动记录表[点击查看PDF原文],2024-01-01 00:00:00,2024-01-01,2024-01-02
601888,1386917102,新年快乐，预祝中国中免龙年行大运，业绩蒸蒸日上，加油[上涨][上涨][上涨],$中国中免(SH601888)$ 新年快乐，预祝中国中免龙年行大运，业绩蒸蒸日上，加油[上涨][上涨][上涨],2024-01-01 00:00:02,2024-01-01,2024-01-02
830799,1386917104,展望新的一年～无论你身在何方～战神联盟永远是你可以依靠的坚强臂膀～～谨祝大家新年,展望新的一年～无论你身在何方～战神联盟永远是你可以依靠的坚强臂膀～ ～谨祝大家新年快乐～愿你心中有爱～眼里有光～所见之处～皆是美好[献花][献花][献花],2024-01-01 00:00:03,2024-01-01,2024-01-02
000657,1386917106,2024.加油,$中钨高新(SZ000657)$ 2024.加油,2024-01-01 00:00:03,2024-01-01,2024-01-02
600769,1386917107,降龙年，开年大吉,$祥龙电业(SH600769)$ 降龙年，开年大吉,2024-01-01 00:00:04,2024-01-01,2024-01-02
300455,1386917110,2024你好,$航天智装(SZ300455)$ 2024 你好,2024-01-01 00:00:06,2024-01-01,2024-01-02
301216,1386917112,$万凯新材(SZ301216)$,$万凯新材(SZ301216)$,2024-01-01 00:00:10,2024-01-01,2024-01-02
600630,1386917119,龙年大吉,$龙头股份(SH600630)$ 龙年大吉,2024-01-01 00:00:15,2024-01-01,2024-01-02
300180,1386917121,吧里无非三种人，一种被套疯了，无底线唱多。另一种则票都没有想低价拿筹码的，无底线,$华峰超纤(SZ300180)$ 吧里无非三种人，一种被套疯了，无底线唱多。另一种则票都没有想低价拿筹码的，无底线唱空。最后一种，做个看戏的就好，趋势在就拿，趋势坏该走就走。没涨过5块就想着百元，没跌破四块就想着3块多的筹码了，炒股炒出蛇精病了，也是可怜。,2024-01-01 00:00:18,2024-01-01,2024-01-02
600599,1386917126,兄弟们，开始要整改啦，禁改限今年放烟花[让我看看][让我看看][666][666,$ST熊猫(SH600599)$兄弟们 ，开始要整改啦，禁改限今年放烟花[让我看看][让我看看][666][666],2024-01-01 00:00:30,2024-01-01,2024-01-02
300623,1386917127,祝股友新年快乐,2024年,2024-01-01 00:00:31,2024-01-01,2024-01-02
002127,1386917130,国潮品牌的崛起！贴牌也是牌[大笑][大笑][大笑],国潮品牌的崛起！贴牌也是牌[大笑][大笑][大笑],2024-01-01 00:00:35,2024-01-01,2024-01-02
300042,1386917131,朗科科技:算力与存储领域核心公司,朗科科技:算力与存储领域核心公司,2024-01-01 00:00:35,2024-01-01,2024-01-02
300131,1386917132,我把退市有棵树这废柴屏蔽了。,$英唐智控(SZ300131)$ 我把退市有棵树这废柴屏蔽了。,2024-01-01 00:00:37,2024-01-01,2024-01-02
601238,1386917133,2024广汽股友发大财[上涨][上涨][上涨],$广汽集团(SH601238)$ 2024广汽股友发大财[上涨][上涨][上涨],2024-01-01 00:00:37,2024-01-01,2024-01-02
601127,1386917134,各位股东新年快乐！[福][福][福],各位股东新年快乐！[福][福][福],2024-01-01 00:00:39,2024-01-01,2024-01-02
601901,1386917135,新年快乐,新年快乐,2024-01-01 00:00:40,2024-01-01,2024-01-02
300551,1386917137,2024年最强股,古鳖科技赛高,2024-01-01 00:00:44,2024-01-01,2024-01-02
002635,1386917141,N-i牛这股倒底牛不牛星期二就知道了,$安洁科技(SZ002635)$ N-i 牛这股倒底牛不牛星期二就知道了,2024-01-01 00:00:48,2024-01-01,2024-01-02
600696,1386917148,讨论一下，现在月黄600多，高酱珍藏800多，珍品600，贵酒匠黄标500多，个,讨论一下，现在月黄600多，高酱珍藏800多，珍品600，贵酒匠黄标500多，个人认为最漂亮的带新口感的月黄合算，喜欢传统酱香的蓝瓶的高酱珍藏性价比高。,2024-01-01 00:00:57,2024-01-01,2024-01-02
600594,1386917155,新年好运！,$益佰制药(SH600594)$ 如题,2024-01-01 00:01:01,2024-01-01,2024-01-02
600488,1386917156,2024年，加油加油！,$津药药业(SH600488)$,2024-01-01 00:01:02,2024-01-01,2024-01-02
603567,1386917159,新年快乐,新年快乐,2024-01-01 00:01:08,2024-01-01,2024-01-02
003033,1386917160,开盘那天就选择方向的时候了！,开盘那天就选择方向的时候了！,2024-01-01 00:01:10,2024-01-01,2024-01-02
600186,1386917161,#【有奖】股东嘉年华，我想见到TA#,$莲花健康(SH600186)$ #【有奖】股东嘉年华，我想见到TA#,2024-01-01 00:01:12,2024-01-01,2024-01-02
600519,1386917175,客观价值与意识形态,研究任何商品，资产等无生物生命，但有时间存在的物体时，需要客观的去认知，而不能太多人性的意识形态去观察。这样我们对事物的认识会比较接近它的本质。人类的意识形态是非常高级的意识，用于爱恨情仇可以，但是，不能附加在一个无生物生命的物质之中。,2024-01-01 00:01:26,2024-01-01,2024-01-02
002238,1386917177,2024一入股市鸿运当头财源滚滚来,$天威视讯(SZ002238)$ 2024一入股市鸿运当头财源滚滚来,2024-01-01 00:01:32,2024-01-01,2024-01-02
002202,1386917179,2024暴富……,2024暴富……,2024-01-01 00:01:35,2024-01-01,2024-01-02
603162,1386917182,出货行情,下跌中继,2024-01-01 00:01:38,2024-01-01,2024-01-02
601166,1386917183,不要找答案了！答案就是兴业银行成为支付宝实际控制人！,$兴业银行(SH601166)$ 不要找答案了！答案就是兴业银行成为支付宝实际控制人！,2024-01-01 00:01:42,2024-01-01,2024-01-02
002349,1386917191,即将开启一波反弹，坚定持股待涨,$精华制药(SZ002349)$ 即将开启一波反弹，坚定持股待涨,2024-01-01 00:01:54,2024-01-01,2024-01-02
002047,1386917194,2024年龙年快乐，新年新气象，祝福自己新年快乐新年新气象，万象更新，祝自己好运,2024年龙年快乐，新年新气象，祝福自己新年快乐新年新气象，万象更新，祝自己好运，做更好的自己，加油,2024-01-01 00:02:03,2024-01-01,2024-01-02
600367,1386917196,2024，携手共进，再创好辉煌,$红星发展(SH600367)$ 2024，携手共进，再创好辉煌,2024-01-01 00:02:05,2024-01-01,2024-01-02
002649,1386917198,2024牛气冲天,2024牛气冲天,2024-01-01 00:02:07,2024-01-01,2024-01-02
600133,1386917199,我还以为是武汉新芯呢、看来猜错了、大概率是响应数据局号召、发展数据要素！,$东湖高新(SH600133)$,2024-01-01 00:02:08,2024-01-01,2024-01-02
600130,1386917202,2024年波波目标价16.18,$波导股份(SH600130)$ 2024年波波目标价16.18,2024-01-01 00:02:10,2024-01-01,2024-01-02
002952,1386917203,新年快乐,新年快乐,2024-01-01 00:02:11,2024-01-01,2024-01-02
002374,1386917204,大家新年快乐2024大家都发财,大家新年快乐 2024大家都发财,2024-01-01 00:02:14,2024-01-01,2024-01-02
002457,1386917205,新的一年！新的开始！万象更新！祝各位元旦节！快乐！股市长虹！欢声笑语迎牛市！,新的一年！新的开始！万象更新！祝各位元旦节！快乐！股市长虹！欢声笑语迎牛市！,2024-01-01 00:02:15,2024-01-01,2024-01-02
000564,1386917210,新的一年，祝大家发发发,$ST大集(SZ000564)$,2024-01-01 00:02:26,2024-01-01,2024-01-02
603004,1386917212,2024鼎龙起飞,$C鼎龙(SH603004)$2024鼎龙起飞,2024-01-01 00:02:28,2024-01-01,2024-01-02
002196,1386917214,中国某新能源新势力,$方正电机(SZ002196)$中国某新能源新势力,2024-01-01 00:02:33,2024-01-01,2024-01-02
